Strike, CALL $$$,PUTS $$$, IVCALLS,IVPUTS,DCALL,DPUTS,Timestamp
680,0,441490,293875.68,52519.04,0,-50008,2025-10-23 16:51:14
679,996,1772394,273350.54,214452.18,4897,-227574,2025-10-23 16:51:14
678,0,549878,299194.56,69309.12,6111,-81468,2025-10-23 16:51:14
677,3590,804752,509133.44,0,12128,-174500,2025-10-23 16:51:14
676,18797,1211840,1634635.86,201621.6,46878,-237684,2025-10-23 16:51:14
675,54045.5,2304818.5,3294210.36,351952.32,119442,-677404,2025-10-23 16:51:14
674,116027.5,4107838,4790722.32,1014190.59,239058,-1270036,2025-10-23 16:51:14
673,221111,15846655.5,5554444.5,2955701.48,918090,-10059924,2025-10-23 16:51:14
672,867348,13535465,2541584.76,4433410.96,8294216,-22236544,2025-10-23 16:51:14
671,32474640,555690,0,3766736.92,50675000,-2626211,2025-10-23 16:51:14
670,75344904,232189,0,7680480.12,47610900,-938934,2025-10-23 16:51:14
669,44546008,213274,0,10397172.29,17230100,-431239,2025-10-23 16:51:14
668,20640913,152404.5,0,9772840.35,6871600,-309365,2025-10-23 16:51:14
667,9524466.5,96335.5,1412786.16,7686809.28,2222254,-197706,2025-10-23 16:51:14
666,3937458,67989,958055.12,6510009.96,1309195,-141399,2025-10-23 16:51:14
665,4340316,57075.5,0,6685995.33,1533200,-125937,2025-10-23 16:51:14
664,403434,28680.5,0,3897004.8,402700,-64896,2025-10-23 16:51:14
663,0,32713.5,0,4719104.65,206600,0,2025-10-23 16:51:14
662,1201014,13322,0,2719309.08,200100,0,2025-10-23 16:51:14
661,480150,12908.5,0,2487424.02,97200,0,2025-10-23 16:51:14
660,332153.5,23008.5,0,5424755,111800,0,2025-10-23 16:51:14
659,0,8992.5,0,2160809.4,6700,0,2025-10-23 16:51:14
658,125764,8100.5,0,2079963.63,31800,0,2025-10-23 16:51:14
657,41104,12348,0,3027806.75,8200,0,2025-10-23 16:51:14
680,0,441490,292607.76,55625.92,4696,-49476,2025-10-23 16:51:34
679,996,1772394,271979.38,228009.78,4897,-225153,2025-10-23 16:51:34
678,0,549878,297483.48,73881.84,6111,-80592,2025-10-23 16:51:34
677,3590,804752,505737.6,0,12128,-174500,2025-10-23 16:51:34
676,18797,1211840,1621041.24,210063.48,46878,-234952,2025-10-23 16:51:34
675,54045.5,2304818.5,3258377.76,381653.88,119442,-662516,2025-10-23 16:51:34
674,116027.5,4107838,4716614.34,1046275.71,239058,-1253325,2025-10-23 16:51:34
673,221111,15846655.5,5402959.65,3252708.76,918090,-9700641,2025-10-23 16:51:34
672,867348,13535465,2245362.76,4885090.76,8886660,-21194206,2025-10-23 16:51:34
671,32474640,555690,0,3920557.85,50675000,-2626211,2025-10-23 16:51:34
670,75344904,232189,0,7826014.89,47610900,-938934,2025-10-23 16:51:34
669,44546008,213274,0,10530856.38,17230100,-431239,2025-10-23 16:51:34
668,20640913,152404.5,0,9862556.2,6871600,-309365,2025-10-23 16:51:34
667,9524466.5,96335.5,1221294.06,7744144.02,2293177,-197706,2025-10-23 16:51:34
666,3937458,67989,833199.26,6549601.68,1336757,-141399,2025-10-23 16:51:34
665,4340316,57075.5,0,6719998.32,1533200,-125937,2025-10-23 16:51:34
664,403434,28680.5,0,3914526.72,402700,-64896,2025-10-23 16:51:34
663,0,32713.5,0,4738136.14,206600,0,2025-10-23 16:51:34
662,1201014,13322,0,2729259.12,200100,0,2025-10-23 16:51:34
661,480150,12908.5,0,2495449.96,97200,0,2025-10-23 16:51:34
660,332153.5,23008.5,0,5441528.75,111800,0,2025-10-23 16:51:34
659,0,8992.5,0,2166784.2,6700,0,2025-10-23 16:51:34
658,125764,8100.5,0,2085333.41,31800,0,2025-10-23 16:51:34
657,41104,12348,0,3035140.05,8200,0,2025-10-23 16:51:34
680,0,441490,291950.32,57057,4696,-49476,2025-10-23 16:51:55
679,996,1772394,271293.8,234231.75,4897,-222732,2025-10-23 16:51:55
678,0,549878,296627.94,75966.72,6111,-79716,2025-10-23 16:51:55
677,3590,804752,504039.68,0,12128,-174500,2025-10-23 16:51:55
676,18797,1211840,1614478.32,214079.52,46878,-232220,2025-10-23 16:51:55
675,54045.5,2304818.5,3240461.46,394829.76,119442,-655072,2025-10-23 16:51:55
674,116027.5,4107838,4680755.64,1061984.05,239058,-1253325,2025-10-23 16:51:55
673,221111,15846655.5,5324922,3386841.08,918090,-9461119,2025-10-23 16:51:55
672,867348,13535465,2091327.32,5100507.28,9479104,-20499314,2025-10-23 16:51:55
671,32474640,555690,0,3995592.45,50675000,-2251038,2025-10-23 16:51:55
670,75344904,232189,0,7901129.61,47610900,-938934,2025-10-23 16:51:55
669,44546008,213274,0,10595542.23,17230100,-431239,2025-10-23 16:51:55
668,20640913,152404.5,0,9908960.95,6871600,-309365,2025-10-23 16:51:55
667,9524466.5,96335.5,1066681.92,7771822.86,2316818,-197706,2025-10-23 16:51:55
666,3937458,67989,727223.37,6569397.54,1364319,-141399,2025-10-23 16:51:55
665,4340316,57075.5,0,6737629.5,1533200,-125937,2025-10-23 16:51:55
664,403434,28680.5,0,3923612.16,402700,-64896,2025-10-23 16:51:55
663,0,32713.5,0,4747299.45,206600,0,2025-10-23 16:51:55
662,1201014,13322,0,2734049.88,200100,0,2025-10-23 16:51:55
661,480150,12908.5,0,2499771.62,97200,0,2025-10-23 16:51:55
660,332153.5,23008.5,0,5449605,111800,0,2025-10-23 16:51:55
659,0,8992.5,0,2169771.6,6700,0,2025-10-23 16:51:55
658,125764,8100.5,0,2088018.3,31800,0,2025-10-23 16:51:55
657,41104,12348,0,3038806.7,8200,0,2025-10-23 16:51:55
680,0,441490,292279.04,56349.44,4696,-49476,2025-10-23 16:52:15
679,996,1772394,271636.59,231157.08,4897,-222732,2025-10-23 16:52:15
678,0,549878,297055.71,74941.8,6111,-80592,2025-10-23 16:52:15
677,3590,804752,504888.64,0,12128,-174500,2025-10-23 16:52:15
676,18797,1211840,1617759.78,212085.16,46878,-232220,2025-10-23 16:52:15
675,54045.5,2304818.5,3250016.82,388353.48,119442,-655072,2025-10-23 16:52:15
674,116027.5,4107838,4697489.7,1054129.88,239058,-1253325,2025-10-23 16:52:15
673,221111,15846655.5,5361645.6,3320972.53,918090,-9580880,2025-10-23 16:52:15
672,867348,13535465,2168345.04,4992799.02,9479104,-20846760,2025-10-23 16:52:15
671,32474640,555690,0,3958075.15,50675000,-2251038,2025-10-23 16:52:15
670,75344904,232189,0,7863572.25,47610900,-938934,2025-10-23 16:52:15
669,44546008,213274,0,10561043.11,17230100,-431239,2025-10-23 16:52:15
668,20640913,152404.5,0,9884211.75,6871600,-309365,2025-10-23 16:52:15
667,9524466.5,96335.5,1153680.8,7757983.44,2293177,-197706,2025-10-23 16:52:15
666,3937458,67989,789237.87,6559499.61,1350538,-141399,2025-10-23 16:52:15
665,4340316,57075.5,0,6728813.91,1533200,-125937,2025-10-23 16:52:15
664,403434,28680.5,0,3919069.44,402700,-64896,2025-10-23 16:52:15
663,0,32713.5,0,4743070.23,206600,0,2025-10-23 16:52:15
662,1201014,13322,0,2731470.24,200100,0,2025-10-23 16:52:15
661,480150,12908.5,0,2497610.79,97200,0,2025-10-23 16:52:15
660,332153.5,23008.5,0,5445256.25,111800,0,2025-10-23 16:52:15
659,0,8992.5,0,2168392.8,6700,0,2025-10-23 16:52:15
658,125764,8100.5,0,2086572.59,31800,0,2025-10-23 16:52:15
657,41104,12348,0,3036832.35,8200,0,2025-10-23 16:52:15
